id,date,fact,source,url,retrieved,phase,subjects,verified
FA-01,2026-06-30,"NBA free agency negotiations open at 6:00 p.m. ET on Tuesday June 30 2026.",Yahoo Sports,https://sports.yahoo.com/articles/does-nba-free-agency-begin-171508088.html,2026-07-31,PRE,,league calendar; corroborated by NBA.com free agency explainer
FA-02,2026-07-01,"The July moratorium runs July 1-6; agreements reached in it are not binding and either side may withdraw.",Hoops Rumors,https://www.hoopsrumors.com/2026/07/hoops-rumors-glossary-july-moratorium-4.html,2026-07-31,PRE,,rule not event
FA-03,2026-07-06,"Free agents may sign officially from 12:01 p.m. ET on July 6 2026; contracts begin counting against team salary.",Yahoo Sports,https://sports.yahoo.com/articles/does-nba-free-agency-begin-171508088.html,2026-07-31,PRE,,rule not event; this instant is the freeze
LBJ-01,2026-06-30,"LeBron James enters free agency; his eight-year tenure with the Lakers is over.",NBA.com,https://www.nba.com/news/lebron-james-fourth-free-agency-decision-philadelphia-sixers,2026-07-31,PRE,jamesle01|LAL,"corroborated: James absent from LAL contract page retrieved 2026-07-31"
LBJ-02,2026-06-30,"James is the biggest name in the 2026 free-agent class after a strong Year 23 and 2026 playoffs.",NBA.com,https://www.nba.com/news/starting-5-june-30-2026,2026-07-31,PRE,jamesle01,single source
LBJ-03,2026-06-30,"Agent Rich Paul says he has spoken with 27 teams about James.",ClutchPoints,https://clutchpoints.com/nba/nba-stories/latest-nba-free-agency-intel-lebron-james-chooses-76ers-over-warriors-cavs-heat-timberwolves,2026-07-31,PRE,jamesle01,single source; date approximate to FA open
LBJ-04,2026-06-30,"Five teams are tied to James: Golden State, Cleveland, Miami, Minnesota and Philadelphia.",NBCS Bay Area,https://www.nbcsportsbayarea.com/nba/golden-state-warriors/lebron-james-76ers-free-agency/1951874/,2026-07-31,PRE,jamesle01|GSW|CLE|MIA|MIN|PHI,"repeated across NBCS, ClutchPoints and ESPN"
LBJ-05,2026-07-06,"James has not signed; his decision remains open past the end of the moratorium.",derived,https://www.espn.com/nba/story/_/id/49440164/lebron-chooses-76ers-sign-2-year-8-million-contract,2026-07-31,PRE,jamesle01,"derived from the July 24 decision date; the freeze precedes it by 18 days"
GSW-01,2026-06-29,"Draymond Green declines his $27.7M player option for 2026-27.",Yahoo Sports,https://sports.yahoo.com/nba/breaking-news/article/draymond-green-declines-player-option-as-warriors-reportedly-prepare-to-pursue-lebron-james-and-anthony-davis-143822340.html,2026-07-31,PRE,greendr01|GSW,"figure corroborated: BBRef lists $27678571 for 2026-27"
GSW-02,2026-06-29,"Green's opt-out is reported as creating cap flexibility for Golden State to pursue LeBron James and Anthony Davis.",Yahoo Sports,https://sports.yahoo.com/nba/breaking-news/article/draymond-green-declines-player-option-as-warriors-reportedly-prepare-to-pursue-lebron-james-and-anthony-davis-143822340.html,2026-07-31,PRE,greendr01|GSW|jamesle01,"see conditionals file COND-01"
GSW-03,2026-06-29,"Green frames the decision as working with the organisation after 14 years rather than as a market move.",NBCS Bay Area,https://www.nbcsportsbayarea.com/nba/golden-state-warriors/draymond-green-explains-declining-option/1946811/,2026-07-31,PRE,greendr01|GSW,single source
GSW-04,2026-06-25,"Golden State drafts Yaxel Lendeborg at No. 11 overall.",NBCS Bay Area,https://www.nbcsportsbayarea.com/nba/golden-state-warriors/remaining-free-agency-moves-draymond-green/1952777/,2026-07-31,PRE,lendeya01|GSW,"corroborated: Lendeborg on GSW books 2026-27 through 2029-30"
GSW-05,2026-06-25,"Golden State drafts Lajae Jones at No. 54 overall.",NBCS Bay Area,https://www.nbcsportsbayarea.com/nba/golden-state-warriors/remaining-free-agency-moves-draymond-green/1952777/,2026-07-31,PRE,GSW,single source
GSW-06,2026-07-09,"Golden State signs Charles Bassey.",Basketball-Reference transaction log,https://www.basketball-reference.com/leagues/NBA_2026_transactions.html,2026-07-30,POST,bassech01|GSW,"in our own ingest: bbref-2025-26 transactions, dated 2026-07-09"
GSW-07,2026-07-14,"Golden State GM Mike Dunleavy says the team is close to finalising its roster.",NBCS Bay Area,https://www.nbcsportsbayarea.com/nba/golden-state-warriors/lebron-james-free-agency-teams/1950146/,2026-07-31,POST,GSW,single source
LBJ-06,2026-07-14,"Shams Charania reports James's focus narrowing to Cleveland, Miami and Philadelphia, with all five teams still in the mix.",ESPN via NBCS Bay Area,https://www.nbcsportsbayarea.com/nba/golden-state-warriors/lebron-james-free-agency-teams/1950146/,2026-07-31,POST,jamesle01|CLE|MIA|PHI,single source
GSW-08,2026-07-23,"Golden State is the only NBA team not to have acquired a new player this offseason.",NBCS Bay Area,https://www.nbcsportsbayarea.com/nba/golden-state-warriors/free-agency-trade-offseason/1952712/,2026-07-31,POST,GSW,"date approximate: article says 'as July nears its end'"
LBJ-07,2026-07-24,"LeBron James announces he will sign with the Philadelphia 76ers.",ESPN,https://www.espn.com/nba/story/_/id/49440164/lebron-chooses-76ers-sign-2-year-8-million-contract,2026-07-31,POST,jamesle01|PHI,"corroborated: James on PHI contract page retrieved 2026-07-31"
LBJ-08,2026-07-24,"The deal is reported as two years and about $8 million with a player option.",ESPN,https://www.espn.com/nba/story/_/id/49440164/lebron-chooses-76ers-sign-2-year-8-million-contract,2026-07-31,POST,jamesle01|PHI,"corroborated: BBRef $3876529 in 2026-27 plus $4070355 player option in 2027-28 = $7946884"
LBJ-09,2026-07-24,"James calls it his last decision and says he is not going for money.",NBA.com,https://www.nba.com/news/lebron-james-free-agency-sixers-2026,2026-07-31,POST,jamesle01,repeated across outlets
LBJ-10,2026-07-24,"James will play alongside Joel Embiid in Philadelphia's 2026-27 frontcourt.",NBA.com,https://www.nba.com/news/lebron-james-fourth-free-agency-decision-philadelphia-sixers,2026-07-31,POST,jamesle01|embiijo01|PHI,"corroborated: Embiid on PHI books at $58100000 for 2026-27"
GSW-09,2026-07-24,"Golden State learns James will sign with Philadelphia rather than join Green and Curry.",Bleacher Report,https://bleacherreport.com/articles/25448041-draymond-green-warriors-agree-new-contract-full-details-after-lebron-james-pursuit,2026-07-31,POST,GSW|jamesle01,single source
GSW-10,2026-07-28,"Rich Paul confirms Green and Golden State have agreed a one-year deal worth $27.7 million.",Bleacher Report,https://bleacherreport.com/articles/25448041-draymond-green-warriors-agree-new-contract-full-details-after-lebron-james-pursuit,2026-07-31,POST,greendr01|GSW,"corroborated: BBRef $27678571 for 2026-27"
